"Ligand"	"Receptor"	"neighborhood"	"neighborhood_transferred"	"fusion"	"cooccurence"	"homology"	"coexpression"	"coexpression_transferred"	"experiments"	"experiments_transferred"	"database"	"database_transferred"	"textmining"	"textmining_transferred"	"combined_score"
"Shh.Smo"	"Shh"	"Smo"	0	0	0	0	0	0	0	0	0	0	559	650	694	948
"Shh.Axl"	"Shh"	"Axl"	0	0	0	0	0	0	0	0	0	0	0	52	701	705
"Il4.Grin2d"	"Il4"	"Grin2d"	0	0	0	0	0	0	0	0	0	0	0	0	437	437
"Il16.Grin2d"	"Il16"	"Grin2d"	0	0	0	0	0	0	0	539	0	0	0	203	66	626
"Ccl2.Il17ra"	"Ccl2"	"Il17ra"	0	0	0	0	0	0	0	0	0	0	0	50	359	365
"Lamb1.Pdgfra"	"Lamb1"	"Pdgfra"	0	0	0	0	0	257	108	0	0	0	0	240	0	452
"Lamb1.Itgb7"	"Lamb1"	"Itgb7"	0	0	0	0	0	0	0	0	0	800	474	125	212	917
"Lamb1.Itga3"	"Lamb1"	"Itga3"	0	0	0	0	0	0	0	0	0	800	559	249	0	927
"Lamb1.Axl"	"Lamb1"	"Axl"	0	0	0	0	0	134	0	0	0	0	0	61	0	152
"Icam4.Bcam"	"Icam4"	"Bcam"	0	0	0	0	0	0	0	0	0	0	0	0	336	336
"Vwf.Bcam"	"Vwf"	"Bcam"	0	0	0	0	0	109	0	0	0	0	0	0	93	157
"Lamb1.Bcam"	"Lamb1"	"Bcam"	0	0	0	0	0	0	0	0	0	0	0	0	179	179
"Apoe.Ngfr"	"Apoe"	"Ngfr"	0	0	0	0	0	0	0	0	0	0	0	136	75	166
"Apoe.Esam"	"Apoe"	"Esam"	0	0	0	0	0	178	0	0	0	0	0	0	207	320
"Apoe.Plaur"	"Apoe"	"Plaur"	0	0	0	0	0	0	0	0	0	0	0	0	702	702
"Efna2.Ngfr"	"Efna2"	"Ngfr"	0	0	0	0	0	0	0	0	0	800	0	191	142	849
"Efna2.Pdgfra"	"Efna2"	"Pdgfra"	0	0	0	0	0	0	0	0	154	800	0	72	69	834
"Efna2.Plxnb3"	"Efna2"	"Plxnb3"	0	0	0	0	0	0	166	0	0	0	0	0	135	247
