Human.gene.name,Gene.name
CCNE1,CCNE1
WDR75,WDR75
DUXB,DUXB
ZNF688,ZNF688
EVA1B,EVA1B
NOL8,NOL8
PTCH1,PTCH1
AP3M1,AP3M1
UFD1,UFD1
ATL2,ATL2
AC074143.1,AC074143.1
FBXL8,FBXL8
MBIP,MBIP
DOCK11,DOCK11
VASP,VASP
PCSK7,PCSK7
RPL22,RPL22
CDK9,CDK9
TIMP3,TIMP3
AC009122.1,AC009122.1
AC025287.4,AC025287.4
ASB2,ASB2
FAM133B,FAM133B
NUP188,NUP188
AC009122.1,AC009122.1
AC025287.4,AC025287.4
SPDYA,SPDYA
FCAMR,FCAMR
RARRES1,RARRES1
TPT1,TPT1
IGHV4-61,IGHV4-61
IGHV4-28,IGHV4-28
IGHV4-31,IGHV4-31
IGHV4OR15-8,IGHV4OR15-8
IGHV4-39,IGHV4-39
AC135068.2,AC135068.2
AC233755.1,AC233755.1
IGHV4-34,IGHV4-34
IGHV4-4,IGHV4-4
IGHV4-59,IGHV4-59
MYBPC1,MYBPC1
MECOM,MECOM
TMEM254,TMEM254
FMNL2,FMNL2
PDLIM2,PDLIM2
ACOT13,ACOT13
DDX47,DDX47
LRTM2,LRTM2
ZNF791,ZNF791
IGHV1-24,IGHV1-24
AC245369.4,AC245369.4
PLAC9,PLAC9
TAS2R14,TAS2R14
MCEMP1,MCEMP1
CYP11B1,CYP11B1
CYP11B2,CYP11B2
RMDN1,RMDN1
CACNA2D4,CACNA2D4
OR1E1,OR1E1
OR1E2,OR1E2
HTATSF1,HTATSF1
PSMF1,PSMF1
VSIR,VSIR
SIRPB1,SIRPB1
SIRPG,SIRPG
AL049634.2,AL049634.2
SIRPA,SIRPA
ALDH3B2,ALDH3B2
TAS2R13,TAS2R13
CARD6,CARD6
RASSF6,RASSF6
OR5AK2,OR5AK2
LMO4,LMO4
SPACA3,SPACA3
DERL3,DERL3
ATG4C,ATG4C
IL1R1,IL1R1
ITGBL1,ITGBL1
TXNDC12,TXNDC12
RASGRP1,RASGRP1
SSR2,SSR2
TMEM126A,TMEM126A
TAGLN,TAGLN
IGHV1-24,IGHV1-24
AC245369.4,AC245369.4
SGTA,SGTA
KLHDC10,KLHDC10
PHC2,PHC2
KTI12,KTI12
MAP3K5,MAP3K5
MED18,MED18
STIM1,STIM1
MCCC1,MCCC1
PLA2G16,PLA2G16
CPED1,CPED1
POLR3E,POLR3E
SETX,SETX
C12orf49,C12orf49
NLRP4,NLRP4
IGHV1-24,IGHV1-24
AC245369.4,AC245369.4
GPAT2,GPAT2
SEC14L3,SEC14L3
OR8D2,OR8D2
TDP2,TDP2
PTGER4,PTGER4
KLHL4,KLHL4
USP38,USP38
TAS2R13,TAS2R13
SLFN14,SLFN14
RFK,RFK
PPP1R12C,PPP1R12C
RSAD1,RSAD1
DCHS1,DCHS1
C1orf146,C1orf146
HIST1H1A,HIST1H1A
PLA2G7,PLA2G7
UBXN6,UBXN6
TTC33,TTC33
CEACAM3,CEACAM3
CEACAM4,CEACAM4
TSPAN11,TSPAN11
COBL,COBL
FCGRT,FCGRT
GPKOW,GPKOW
MTRR,MTRR
PPM1N,PPM1N
CDH23,CDH23
SGMS2,SGMS2
SHH,SHH
NOB1,NOB1
KAT7,KAT7
PTHLH,PTHLH
ELOVL6,ELOVL6
DCUN1D1,DCUN1D1
LRRC8A,LRRC8A
MRPL17,MRPL17
KIAA1107,KIAA1107
NUDT3,NUDT3
PPP1R7,PPP1R7
RCN3,RCN3
OR8D1,OR8D1
TRIM38,TRIM38
CCDC160,CCDC160
MAP1S,MAP1S
LZIC,LZIC
MCFD2,MCFD2
AL672142.1,AL672142.1
ANGPTL8,ANGPTL8
BTBD8,BTBD8
DOLK,DOLK
PAFAH2,PAFAH2
PHYHD1,PHYHD1
FPR1,FPR1
DOCK6,DOCK6
CRYBA4,CRYBA4
SWAP70,SWAP70
IGHV1-24,IGHV1-24
AC245369.4,AC245369.4
TLDC1,TLDC1
NUDT8,NUDT8
CEACAM3,CEACAM3
CEACAM4,CEACAM4
WBSCR28,WBSCR28
HAMP,HAMP
OR1E1,OR1E1
OR1E2,OR1E2
PAH,PAH
FRMD6,FRMD6
CFAP44,CFAP44
REV1,REV1
OR8D2,OR8D2
CYB5R1,CYB5R1
ATP5G3,ATP5G3
LSR,LSR
AURKC,AURKC
FPR3,FPR3
FPR2,FPR2
FPR3,FPR3
FPR2,FPR2
MRPS28,MRPS28
PASK,PASK
RXFP1,RXFP1
CFH,CFH
CFHR3,CFHR3
BPI,BPI
PIP4K2A,PIP4K2A
COLGALT2,COLGALT2
COTL1,COTL1
ARPIN,ARPIN
C15orf38-AP3S2,C15orf38-AP3S2
RTN2,RTN2
LGALS12,LGALS12
HIPK1,HIPK1
COL17A1,COL17A1
SRP9,SRP9
TMF1,TMF1
OR1E1,OR1E1
OR1E2,OR1E2
AC022167.5,AC022167.5
SHMT1,SHMT1
INO80D,INO80D
VPS50,VPS50
DUSP6,DUSP6
CLEC4A,CLEC4A
BMP4,BMP4
FPR3,FPR3
FPR2,FPR2
EIF5B,EIF5B
AQP11,AQP11
MRPS25,MRPS25
POLE,POLE
CCDC91,CCDC91
TAS2R19,TAS2R19
TAS2R50,TAS2R50
TAS2R30,TAS2R30
TAS2R20,TAS2R20
